Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0042_H_ABAO_AAA,0042_H_ABAO_AAA_3D_RIGID_VTP.zip,0150_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Ana K. Ortiz,-
0042_H_ABAO_AAA,0042_H_ABAO_AAA_3D_RIGID_VTU.zip,0150_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Ana K. Ortiz,-
0043_H_ABAO_AAA,0043_H_ABAO_AAA_3D_RIGID_VTP.zip,0151_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Ana K. Ortiz,-
0043_H_ABAO_AAA,0043_H_ABAO_AAA_3D_RIGID_VTU.zip,0151_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Ana K. Ortiz,-
0024_H_AO_H,0024_H_AO_H_3D_RIGID_VTP.zip,0154_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0024_H_AO_H,0024_H_AO_H_3D_RIGID_VTU.zip,0154_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0044_H_ABAO_AAA,0044_H_ABAO_AAA_3D_RIGID_VTP.zip,0156_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Ana K. Ortiz,-
0044_H_ABAO_AAA,0044_H_ABAO_AAA_3D_RIGID_VTU.zip,0156_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Ana K. Ortiz,-
0045_H_ABAO_AAA,0045_H_ABAO_AAA_3D_RIGID_VTP.zip,0157_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Ana K. Ortiz,-
0045_H_ABAO_AAA,0045_H_ABAO_AAA_3D_RIGID_VTU.zip,0157_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Ana K. Ortiz,-
0047_H_ABAO_AIOD,0047_H_ABAO_AIOD_3D_RIGID_VTP.zip,0161_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Nathan Wilson,-
0047_H_ABAO_AIOD,0047_H_ABAO_AIOD_3D_RIGID_VTU.zip,0161_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Nathan Wilson,-
0048_H_ABAO_AIOD,0048_H_ABAO_AIOD_3D_RIGID_VTP.zip,0162_3001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Nathan Wilson,-
0048_H_ABAO_AIOD,0048_H_ABAO_AIOD_3D_RIGID_VTU.zip,0162_3001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Nathan Wilson,-
0049_H_ABAO_AIOD,0049_H_ABAO_AIOD_3D_RIGID_VTP.zip,0163_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Nathan Wilson,-
0049_H_ABAO_AIOD,0049_H_ABAO_AIOD_3D_RIGID_VTU.zip,0163_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Nathan Wilson,-
0068_H_CORO_KD,0068_H_CORO_KD_3D_FSI_HYPER_VTP.zip,0172_0001_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0068_H_CORO_KD,0068_H_CORO_KD_3D_FSI_HYPER_VTU.zip,0172_0001_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0068_H_CORO_KD,0068_H_CORO_KD_3D_FSI_REST_VTP.zip,0172_0001_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0068_H_CORO_KD,0068_H_CORO_KD_3D_FSI_REST_VTU.zip,0172_0001_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0069_H_CORO_KD,0069_H_CORO_KD_3D_FSI_HYPER_VTP.zip,0173_1001_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0069_H_CORO_KD,0069_H_CORO_KD_3D_FSI_HYPER_VTU.zip,0173_1001_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0069_H_CORO_KD,0069_H_CORO_KD_3D_FSI_REST_VTP.zip,0173_1001_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0069_H_CORO_KD,0069_H_CORO_KD_3D_FSI_REST_VTU.zip,0173_1001_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0025_H_AO_MFS,0025_H_AO_MFS_3D_RIGID_VTP.zip,0174_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0025_H_AO_MFS,0025_H_AO_MFS_3D_RIGID_VTU.zip,0174_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0026_H_AO_MFS,0026_H_AO_MFS_3D_RIGID_VTP.zip,0175_0000_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0026_H_AO_MFS,0026_H_AO_MFS_3D_RIGID_VTU.zip,0175_0000_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0070_H_CORO_KD,0070_H_CORO_KD_3D_FSI_HYPER_VTP.zip,0183_1002_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0070_H_CORO_KD,0070_H_CORO_KD_3D_FSI_HYPER_VTU.zip,0183_1002_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0070_H_CORO_KD,0070_H_CORO_KD_3D_FSI_REST_VTP.zip,0183_1002_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0070_H_CORO_KD,0070_H_CORO_KD_3D_FSI_REST_VTU.zip,0183_1002_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0074_H_CORO_KD,0074_H_CORO_KD_3D_FSI_HYPER_VTP.zip,0187_0002_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0074_H_CORO_KD,0074_H_CORO_KD_3D_FSI_HYPER_VTU.zip,0187_0002_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0074_H_CORO_KD,0074_H_CORO_KD_3D_FSI_REST_VTP.zip,0187_0002_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0074_H_CORO_KD,0074_H_CORO_KD_3D_FSI_REST_VTU.zip,0187_0002_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0169_H_CORO_KD,0169_H_CORO_KD_3D_FSI_HYPER_VTP.zip,AKD3058_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0169_H_CORO_KD,0169_H_CORO_KD_3D_FSI_HYPER_VTU.zip,AKD3058_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0169_H_CORO_KD,0169_H_CORO_KD_3D_FSI_REST_VTP.zip,AKD3058_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0169_H_CORO_KD,0169_H_CORO_KD_3D_FSI_REST_VTU.zip,AKD3058_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0170_H_CORO_KD,0170_H_CORO_KD_3D_FSI_HYPER_VTP.zip,AKD3097_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0170_H_CORO_KD,0170_H_CORO_KD_3D_FSI_HYPER_VTU.zip,AKD3097_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0170_H_CORO_KD,0170_H_CORO_KD_3D_FSI_REST_VTP.zip,AKD3097_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0170_H_CORO_KD,0170_H_CORO_KD_3D_FSI_REST_VTU.zip,AKD3097_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0114_H_PULM_ALGS,0114_H_PULM_ALGS_3D_FSI_VTP.zip,AS1_SU0308_prestent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0114_H_PULM_ALGS,0114_H_PULM_ALGS_3D_FSI_VTU.zip,AS1_SU0308_prestent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0120_H_PULM_ALGS,0120_H_PULM_ALGS_3D_FSI_VTP.zip,AS1_SU0308_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0120_H_PULM_ALGS,0120_H_PULM_ALGS_3D_FSI_VTU.zip,AS1_SU0308_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0115_H_PULM_ALGS,0115_H_PULM_ALGS_3D_FSI_VTP.zip,AS2_SU0313_prestent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0115_H_PULM_ALGS,0115_H_PULM_ALGS_3D_FSI_VTU.zip,AS2_SU0313_prestent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0121_H_PULM_ALGS,0121_H_PULM_ALGS_3D_FSI_VTP.zip,AS2_SU0313_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0121_H_PULM_ALGS,0121_H_PULM_ALGS_3D_FSI_VTU.zip,AS2_SU0313_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0122_H_PULM_ALGS,0122_H_PULM_ALGS_3D_FSI_VTP.zip,AS3_SU0238_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0122_H_PULM_ALGS,0122_H_PULM_ALGS_3D_FSI_VTU.zip,AS3_SU0238_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0117_H_PULM_ALGS,0117_H_PULM_ALGS_3D_FSI_VTP.zip,AS4_SU0287_prestent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0117_H_PULM_ALGS,0117_H_PULM_ALGS_3D_FSI_VTU.zip,AS4_SU0287_prestent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0123_H_PULM_ALGS,0123_H_PULM_ALGS_3D_FSI_VTP.zip,AS4_SU0287_stent_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Ingrid Lan,-
0123_H_PULM_ALGS,0123_H_PULM_ALGS_3D_FSI_VTU.zip,AS4_SU0287_stent_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Ingrid Lan,-
0160_H_AO_AOD,0160_H_AO_AOD_3D_FSI_VTU.zip,BMMB_AD_2020_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Kathrin Baumler,-
0171_H_CORO_KD,0171_H_CORO_KD_3D_FSI_HYPER_VTP.zip,KD1_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0171_H_CORO_KD,0171_H_CORO_KD_3D_FSI_HYPER_VTU.zip,KD1_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0171_H_CORO_KD,0171_H_CORO_KD_3D_FSI_REST_VTP.zip,KD1_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0171_H_CORO_KD,0171_H_CORO_KD_3D_FSI_REST_VTU.zip,KD1_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0172_H_CORO_KD,0172_H_CORO_KD_3D_FSI_HYPER_VTP.zip,KD9_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0172_H_CORO_KD,0172_H_CORO_KD_3D_FSI_HYPER_VTU.zip,KD9_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0136_H_CORO_KD,0136_H_CORO_KD_3D_FSI_VTP.zip,KDR01_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0136_H_CORO_KD,0136_H_CORO_KD_3D_FSI_VTU.zip,KDR01_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0136_H_CORO_KD,0136_H_CORO_KD_3D_RIGID_VTP.zip,KDR01_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0136_H_CORO_KD,0136_H_CORO_KD_3D_RIGID_VTU.zip,KDR01_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0139_H_CORO_KD,0139_H_CORO_KD_3D_FSI_VTP.zip,KDR12_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0139_H_CORO_KD,0139_H_CORO_KD_3D_FSI_VTU.zip,KDR12_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0139_H_CORO_KD,0139_H_CORO_KD_3D_RIGID_VTP.zip,KDR12_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0139_H_CORO_KD,0139_H_CORO_KD_3D_RIGID_VTU.zip,KDR12_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0140_H_CORO_KD,0140_H_CORO_KD_3D_FSI_VTP.zip,KDR13_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0140_H_CORO_KD,0140_H_CORO_KD_3D_FSI_VTU.zip,KDR13_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0140_H_CORO_KD,0140_H_CORO_KD_3D_RIGID_VTP.zip,KDR13_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0140_H_CORO_KD,0140_H_CORO_KD_3D_RIGID_VTU.zip,KDR13_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0141_H_CORO_KD,0141_H_CORO_KD_3D_FSI_VTP.zip,KDR32_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0141_H_CORO_KD,0141_H_CORO_KD_3D_FSI_VTU.zip,KDR32_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0141_H_CORO_KD,0141_H_CORO_KD_3D_RIGID_VTP.zip,KDR32_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0141_H_CORO_KD,0141_H_CORO_KD_3D_RIGID_VTU.zip,KDR32_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0142_H_CORO_KD,0142_H_CORO_KD_3D_FSI_VTP.zip,KDR33_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0142_H_CORO_KD,0142_H_CORO_KD_3D_FSI_VTU.zip,KDR33_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0143_H_CORO_KD,0143_H_CORO_KD_3D_FSI_VTP.zip,KDR34_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0143_H_CORO_KD,0143_H_CORO_KD_3D_FSI_VTU.zip,KDR34_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0143_H_CORO_KD,0143_H_CORO_KD_3D_RIGID_VTP.zip,KDR34_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0143_H_CORO_KD,0143_H_CORO_KD_3D_RIGID_VTU.zip,KDR34_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0144_H_CORO_KD,0144_H_CORO_KD_3D_FSI_VTP.zip,KDR48_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0144_H_CORO_KD,0144_H_CORO_KD_3D_FSI_VTU.zip,KDR48_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0144_H_CORO_KD,0144_H_CORO_KD_3D_RIGID_VTP.zip,KDR48_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0144_H_CORO_KD,0144_H_CORO_KD_3D_RIGID_VTU.zip,KDR48_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0145_H_CORO_KD,0145_H_CORO_KD_3D_FSI_VTP.zip,KDR57_FSI_vtp.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0145_H_CORO_KD,0145_H_CORO_KD_3D_FSI_VTU.zip,KDR57_FSI_vtu.zip,3D,Fluid-Structure Interaction,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0145_H_CORO_KD,0145_H_CORO_KD_3D_RIGID_VTP.zip,KDR57_rigid_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Noelia Grande Gutierrez,-
0145_H_CORO_KD,0145_H_CORO_KD_3D_RIGID_VTU.zip,KDR57_rigid_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Noelia Grande Gutierrez,-
0146_H_CORO_SVGD,0146_H_CORO_SVGD_3D_FSI_VTP.zip,O0171SC_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0149_H_CORO_SVGD,0149_H_CORO_SVGD_3D_FSI_VTP.zip,O11908_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0149_H_CORO_SVGD,0149_H_CORO_SVGD_3D_FSI_VTP.zip,O11908_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0158_H_CORO_SVGD,0158_H_CORO_SVGD_3D_FSI_VTP.zip,O128301_2008_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0152_H_CORO_SVGD,0152_H_CORO_SVGD_3D_FSI_VTP.zip,O145207_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0153_H_CORO_SVGD,0153_H_CORO_SVGD_3D_FSI_VTP.zip,O150323_2009_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0153_H_CORO_SVGD,0153_H_CORO_SVGD_3D_FSI_VTP.zip,O150323_2009_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0150_H_CORO_SVGD,0150_H_CORO_SVGD_3D_FSI_VTP.zip,O20719_2006_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0150_H_CORO_SVGD,0150_H_CORO_SVGD_3D_FSI_VTP.zip,O20719_2006_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0154_H_CORO_SVGD,0154_H_CORO_SVGD_3D_FSI_VTP.zip,O227241_2006_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0157_H_CORO_SVGD,0157_H_CORO_SVGD_3D_FSI_VTP.zip,O344211000_2006_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0157_H_CORO_SVGD,0157_H_CORO_SVGD_3D_FSI_VTP.zip,O344211000_2006_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0155_H_CORO_SVGD,0155_H_CORO_SVGD_3D_FSI_VTP.zip,O351095_2016_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0151_H_CORO_SVGD,0151_H_CORO_SVGD_3D_FSI_VTP.zip,O51001_2009_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0156_H_CORO_SVGD,0156_H_CORO_SVGD_3D_FSI_VTP.zip,O683375_2005_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0156_H_CORO_SVGD,0156_H_CORO_SVGD_3D_FSI_VTP.zip,O683375_2005_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0159_H_CORO_SVGD,0159_H_CORO_SVGD_3D_FSI_VTP.zip,O690801_2007_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0148_H_CORO_SVGD,0148_H_CORO_SVGD_3D_FSI_VTP.zip,O8963SC_pre_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0148_H_CORO_SVGD,0148_H_CORO_SVGD_3D_FSI_VTP.zip,O8963SC_with_stenosis_vtp.zip,3D,Fluid-Structure Interaction,-,Average-Value,Surface (vtp),Owais Khan,-
0173_H_CORO_KD,0173_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD23_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0173_H_CORO_KD,0173_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD23_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0173_H_CORO_KD,0173_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD23_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0173_H_CORO_KD,0173_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD23_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0174_H_CORO_KD,0174_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD24_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0174_H_CORO_KD,0174_H_CORO_KD_3D_FSI_HYPER_VTU.zip,RCKD24_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0174_H_CORO_KD,0174_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD24_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0174_H_CORO_KD,0174_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD24_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0175_H_CORO_KD,0175_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD25_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0175_H_CORO_KD,0175_H_CORO_KD_3D_FSI_HYPER_VTU.zip,RCKD25_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0175_H_CORO_KD,0175_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD25_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0175_H_CORO_KD,0175_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD25_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0176_H_CORO_KD,0176_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD26_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0176_H_CORO_KD,0176_H_CORO_KD_3D_FSI_HYPER_VTU.zip,RCKD26_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
0176_H_CORO_KD,0176_H_CORO_KD_3D_FSI_REST_VTP.zip,RCKD26_FSI_resting_vtp.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Surface (vtp),Karthik Menon,-
0176_H_CORO_KD,0176_H_CORO_KD_3D_FSI_REST_VTU.zip,RCKD26_FSI_resting_vtu.zip,3D,Fluid-Structure Interaction,Resting,Time-Resolved,Volume (vtu),Karthik Menon,-
0177_H_CORO_KD,0177_H_CORO_KD_3D_FSI_HYPER_VTP.zip,RCKD27_FSI_hyperemic_vtp.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Surface (vtp),Karthik Menon,-
0177_H_CORO_KD,0177_H_CORO_KD_3D_FSI_HYPER_VTU.zip,RCKD27_FSI_hyperemic_vtu.zip,3D,Fluid-Structure Interaction,Hyperemic,Time-Resolved,Volume (vtu),Karthik Menon,-
